,EarningsDate,Symbol,After/Before Market,Market_Cap,UnixDate,day1gainloss,day2gainloss,day3gainloss,day4gainloss,day5gainloss,day6gainloss,day7gainloss,day1spread,day2spread,day3spread,day4spread,day5spread,day6spread,day7spread,30dayvolume,day1prop,day2prop,day3prop,day4prop,day5prop,day6prop,day7prop
33,6/4/2020,GIII,bmo,491.91,1591228800,1.159999847,1.240000725,0.269999504,0.950000763,-0.550000191,-0.579999924,-0.38999939,2.190800667,1.400000572,0.800000191,1.600000381,0.939900398,0.869999886,1.079999924,47997729,0.056774749,0.050813154,0.042939636,0.032524455,0.033418727,0.028020159,0.050570476
34,6/4/2020,ZUMZ,amc,414.8,1591228800,1.310001373,0.930000305,1.36000061,0.300001144,0.020000458,-0.98000145,1.129999161,2,1.76499939,1.590000153,1.555000305,0.930000305,1.289999008,1.495000839,10331653,0.067026061,0.0351693,0.035432665,0.037413761,0.057256666,0.040847287,0.044037677
35,6/4/2020,SPWH,amc,298.7,1591228800,-0.109999657,0.340000153,-0.209999084,-0.279999733,0.480000496,-0.470000267,0.509999275,0.619999886,1.170000076,0.619999886,0.620000839,0.880000114,0.93999958,0.710000038,22838845,0.053699782,0.070973335,0.067615284,0.075069865,0.053198794,0.045875744,0.055314356
36,6/4/2020,NX,amc,280.62,1591228800,0.119999886,0.159999847,0.359999657,0.190000534,-0.11000061,-0.579999924,0.479999542,0.460000038,0.530000687,0.670000076,0.550000191,0.619999886,0.68999958,0.75,5392550,0.043998665,0.02323131,0.026328175,0.056773697,0.04718584,0.03980028,0.028422917
37,6/4/2020,CAL,amc,199.46,1591228800,0.909999847,0.31000042,0.139999866,0.150000095,-0.329999924,-0.799999714,0.510000229,1.119999886,0.550000191,0.5,0.599999905,0.619999886,0.839999676,0.989999771,36723080,0.046670759,0.038937584,0.019839839,0.031592802,0.044384131,0.032802287,0.042990648
38,6/4/2020,WPRT,amc,189.49,1591228800,-0.070000052,-0.00999999,-0.040000081,0.099999905,-0.070000052,-0.120000005,-0.019999981,0.169999957,0.082000017,0.090000033,0.139999986,0.14989996,0.159999967,0.210000038,39380377,0.045418331,0.025859173,0.016738946,0.01844703,0.028666231,0.032185294,0.044399169
39,6/4/2020,DLTH,bmo,181.06,1591228800,0.760000229,0.309999943,-0.230000019,0.559999943,-0.139999866,-0.590000153,0.339999676,1.070000172,0.409999847,0.403100014,0.659999847,0.409999847,0.650000095,0.429999828,10745781,0.090760644,0.041259635,0.01547975,0.02851119,0.031026595,0.028653664,0.026439679
40,6/4/2020,QTT,bmo,170.09,1591228800,-0.089999914,0.080000162,0.029999971,0.319999933,0.0400002,-0.070000172,0.049999952,0.450000048,0.120000124,0.320000172,0.359999895,0.13499999,0.150000095,0.090000153,34594278,0.092391551,0.040861526,0.032508873,0.039238454,0.018825425,0.025062208,0.017739408
41,6/4/2020,IDT,amc,120.25,1591228800,0.06000042,0.220000267,0.029999733,0.119999886,-0.089999676,-0.409999847,-0.059999943,0.320000172,0.349999905,0.199999809,0.360000134,0.329999924,0.460000038,0.300000191,2529515,0.035436437,0.037824247,0.031375975,0.029996659,0.034919342,0.025908524,0.0303236
42,6/4/2020,HOV,bmo,106.6,1591228800,4.129999161,-0.189998627,0.899999619,-0.430000305,0.650000572,-1.340000153,1.539999962,5.689998627,0.890001297,1.290000916,1.350000381,1.289999962,1.749999046,2.600000381,6667890,0.093221094,0.044596567,0.028857255,0.022306607,0.01460432,0.040114939,0.040906344
43,6/4/2020,OESX,bmo,81.9,1591228800,-0.340000153,-0.099999905,0.110000134,0.029999733,0.010000229,-0.039999962,-0.190000057,1.070000172,0.210000038,0.369999886,0.297399998,0.207600117,0.150000095,0.399999619,9291892,0.170471417,0.051634802,0.055487085,0.03767123,0.015025465,0.022177077,0.028319636
44,6/4/2020,SFUN,bmo,75.24,1591228800,-1,2.199999809,0,0.25,-0.199999809,-0.449999809,-1,2.300000191,2.199999809,0.399999619,0.82199955,0.399999619,1.198999405,1.400000572,291172,0.071064525,0.051083209,0.026266262,0.012542415,0.004626132,0.015087302,0.023395107
45,6/4/2020,INTEQ,bmo,50,1591228800,0.096,0.0156,0,-0.033,-0.018,-0.0977,0.3379,0.3278,0.11,0.03,0.0425,0.0719,0.22,0.358,298098920,0.040641892,0.016946542,0.004739886,0.012553893,0.010590032,0.049007118,0.094817945
46,6/4/2020,KLXE,bmo,44.84,1591228800,0.649999619,0.199999809,1.25,0.25,-0.650000095,-0.175000191,-0.5,2.150000572,1.255000114,1.699999809,0.499500275,0.799999714,1.000000477,1.150000572,12222922,0.033216853,0.035530293,0.036063226,0.007081367,0.019728016,0.011004243,0.014961234
47,6/4/2020,DLNG,amc,36.31,1591228800,-0.029999971,0.059999943,0.150000095,0.039999962,-0.029999971,0.029999971,0.039999962,0.064999938,0.143100023,0.150000095,0.039999962,0.069999933,0.029999971,0.050199986,1588531,0.029094176,0.040181778,0.056544694,0.020235677,0.009651055,0.016709148,0.029185455
48,6/4/2020,NICK,bmo,34.21,1591228800,0.150000095,0,0.190000057,-0.050000191,-0.098999977,0.16809988,0.039999962,0.479499817,0,0.190000057,0.489999771,0.098999977,0.175000191,0.039999962,74669,0.174784717,0.007205132,0.051319825,0.029208909,0.020142228,0.018682452,0.012388006
49,6/4/2020,GNLN,bmo,30.65,1591228800,0.630000114,-0.049999952,-0.169999838,-0.150000095,-0.179999828,-0.039999962,0.230000019,0.680000067,0.21999979,0.189999819,0.180000067,0.480000019,0.38499999,0.559999943,8814166,0.072730194,0.057660929,0.014350762,0.014085167,0.03189468,0.076962585,0.037271365
50,6/4/2020,FGP,amc,30.39,1591228800,,,,,,,,,,,,,,,,,,,,,,
51,6/4/2020,DXLG,bmo,21.56,1591228800,-0.00999999,-0.023000002,-0.018999994,-0.005999982,0.007400006,-0.034999996,0.039000005,0.183999985,0.034999996,0.034999996,0.049999982,0.077000022,0.064999998,0.116999984,35611224,0.220993022,0.034256026,0.013226195,0.038099364,0.066660051,0.063554232,0.137971669
52,6/4/2020,PSV,amc,3.66,1591228800,-0.02,-0.079,0.026,0.01,-0.01,0,-0.017,0.04,0.159,0.065,0.017,0.01,0.017,0.026,2084100,0.050045583,0.189386306,0.248836428,0.069766326,0.01065208,0.005709899,0.029461158
53,6/4/2020,KIRK,bmo,903.54,1591228800,-0.090000033,0.215000033,0.049999952,-0.039999962,0.029999971,-0.079999924,0.090000033,0.200000048,0.269999981,0.069999933,0.090000033,0.074599981,0.09799993,0.179999948,26641028,0.073058029,0.084639677,0.021780241,0.016532207,0.018922581,0.026100945,0.107331068
54,6/3/2020,LUKOY,bmo,9260,1591142400,0.55,1.23,1.03,-0.69,-0.27,-1.86,-0.01,1.15,1.56,1.5,1.53,1.96,2.17,1.06,2794200,0.012347005,0.009304989,0.030348579,0.021938301,0.023190895,0.051392169,0.021294109
55,6/3/2020,CPB,bmo,8640,1591142400,-3.080001831,0.539997101,0.229999542,1.450000763,0.38999939,1.560001373,-1.069999695,3.259998322,1.059997559,1.9231987,1.810001373,1.170001984,1.689998627,1.450000763,78382423,0.111344006,0.040867912,0.04042502,0.042584381,0.026498632,0.027494761,0.033175014
56,6/3/2020,CZMWY,bmo,8530,1591142400,0,0,0,0,1.61,0,0,0,0,0,0,1.61,0,0,13300,0,0,0.022556391,0.022556391,0.060150376,0,0.022556391
57,6/3/2020,GWRE,amc,6720,1591142400,1.709999084,-0.090003967,3.849998474,0.830001831,1.849998474,-1.040000916,-2.659996033,3.160003662,3.060005188,4.979995728,2.149993896,3.989997864,2.470001221,2.829994202,16676428,0.07188194,0.057304058,0.05318669,0.066229471,0.032301342,0.057638063,0.03875866
58,6/3/2020,ESTC,amc,5310,1591142400,0.469993591,-1.510002136,3.780006409,3.159996033,0.099998474,-3.840003967,-0.61000061,2.400001526,4.559997559,4.209999084,4.409996033,3.430000305,7.050003052,2.780006409,43271104,0.130887925,0.056368264,0.058442581,0.05889161,0.020361972,0.037636317,0.100143921
59,6/3/2020,DLAKY,bmo,4870,1591142400,-0.02,0.28,-0.18,0.1,-0.43,-0.15,-0.14,0.26,0.38,0.34,0.37,1.17,0.26,0.26,5076300,0.02828832,0.025353112,0.032050903,0.040639836,0.053877824,0.074581881,0.02220121
60,6/3/2020,SMAR,amc,4810,1591142400,1.080001831,-0.669998169,1.459999084,2.329998016,0.150001526,-2.540000916,-1.450000763,3.38999939,2.830001831,2.380001068,2.789997101,2.689998627,5.130001068,2.869998932,41248408,0.126784529,0.042204611,0.044280667,0.037169022,0.021933113,0.03374729,0.028094733
61,6/3/2020,RSHYY,amc,3650,1591142400,-0.03,0,0,0,-0.04,0.01,0,0.03,0,0,0,0.04,0.03,0,166700,0.124175165,0,0.0059988,0.00419916,0.0119976,0.216556689,0
62,6/3/2020,BAK,bmo,3540,1591142400,0.1,0.64,0.06,-0.18,0.35,-0.44,-0.01,0.63,0.76,0.265,0.5502,0.77,0.575,0.2879,4307166,0.031259301,0.036586238,0.02560895,0.022059517,0.027444264,0.022681271,0.020449874
63,6/3/2020,CHNG,amc,3200,1591142400,0.11000061,-0.170000076,-0.136500359,0.199999809,-0.239999771,-0.029999733,-0.385000229,0.490000725,0.300000191,0.456500053,0.690000534,0.349999428,0.625,0.444999695,120161690,0.041182959,0.060111738,0.050077,0.051463607,0.021257416,0.025786513,0.053425322
64,6/3/2020,CLDR,amc,2250,1591142400,0.599999428,-0.239999771,0.470000267,0.350000381,-0.109999657,-0.039999962,-0.239999771,0.93999958,0.859999657,0.899999619,0.489999771,0.390000343,0.63999939,0.31499958,122805972,0.178677662,0.092760375,0.095834549,0.037415347,0.022297759,0.027888025,0.024604471
65,6/3/2020,GOOS,bmo,2160,1591142400,2.399999619,0.5,1.279998779,-0.309999466,-1.409999847,0.25,-0.5,2.739999771,1.11000061,1.629999161,0.680000305,1.630001068,1.010000229,0.790000916,50564825,0.131226223,0.087119831,0.040129912,0.061564062,0.044078507,0.037420321,0.03467183
66,6/3/2020,GEFb,amc,2040,1591142400,,,,,,,,,,,,,,,,,,,,,,
67,6/3/2020,CNK,bmo,1950,1591142400,0.190000534,0.149999619,0.590000153,0.13999939,-1.999999046,1.039999008,0.470000267,1.75,1.070000648,1.320000648,1.101599693,2.049999237,1.420000076,1.160000801,136283311,0.04401806,0.042216409,0.01957947,0.02841615,0.031093257,0.044357808,0.042992667
68,6/3/2020,AEO,bmo,1650,1591142400,0.400000572,0.260000229,0.61000061,-0.190000534,-0.899999619,0.369999886,-0.11000061,0.990000725,0.840000153,0.789999962,0.515000343,0.969999313,0.539999962,0.470000267,317724353,0.065298249,0.060182167,0.038301288,0.021820049,0.022212156,0.033800629,0.035997788
69,6/3/2020,GEF,amc,1610,1591142400,1.229999542,-0.240001678,-0.400001526,-1.170001984,-0.720001221,0.299999237,1.840000153,1.909999847,0.869998932,0.880001068,1.5,1.020000458,1.100002289,2.079998016,6648677,0.051921307,0.033717234,0.034436926,0.031394216,0.029476842,0.04571526,0.045513867
70,6/3/2020,ZUO,amc,1220,1591142400,0.190000534,-0.230000496,0.31000042,0.789999962,-0.369999886,-0.390000343,-0.630000114,0.589999199,0.569999695,0.649999619,0.840000153,0.789999962,1.120000839,0.789899826,42600024,0.071754514,0.02312055,0.041250728,0.034461741,0.032516414,0.034159488,0.028582754
71,6/3/2020,REPL,bmo,748.39,1591142400,1.440000534,0.109998703,0.870000839,0.370000839,-1.090000153,-1.150001526,-1.329999924,2.5,1.590000153,2.224998474,0.710000992,1.510000229,2.120000839,1.704999924,3788583,0.095760077,0.050268399,0.107744241,0.043997188,0.015022767,0.024500717,0.026884986
72,6/3/2020,CRARY,bmo,390.17,1591142400,0.02,0.06,-0.05,-0.04,0.02,0.14,-0.01,0.06,0.08,0.11,0.08,0.11,0.2,0.06,16077800,0.007644081,0.008141661,0.012582567,0.006456107,0.017458856,0.008085683,0.005604001
73,6/3/2020,CMTL,amc,383.28,1591142400,2.030000687,0.050001144,0.36000061,-0.090000153,-0.910001755,-0.579999924,0.729999542,2.450000763,0.869998932,1.039999008,0.857700348,1.219999313,1.530000687,1.274000168,9603299,0.063335527,0.036220157,0.034272389,0.033471102,0.034248856,0.030982166,0.055048375
74,6/3/2020,GILT,amc,379.5,1591142400,0.010000229,-0.240000248,0.01499939,0.009999275,-0.218999863,-0.069999695,0.049999237,0.420000553,0.370000362,0.124099731,0.090000153,0.238999367,0.119999886,0.140000343,9625779,0.082614405,0.062638567,0.024975433,0.035110717,0.026916055,0.021243787,0.053385705
75,6/3/2020,VLGEA,bmo,301.39,1591142400,0.979999542,0.290000916,-0.120000839,0.020000458,0.650001526,-0.119998932,-0.350000381,1.63599968,0.479999542,0.569999695,0.800001144,1.090000153,0.397600174,0.510000229,1888032,0.054578524,0.014417129,0.025147879,0.025696598,0.032565656,0.074134866,0.026893082
76,6/3/2020,FOSL,amc,276.6,1591142400,0.419999838,0.25999999,0.039999962,-0.100000143,-0.039999962,0.109999895,-0.190000057,0.50999999,0.359999895,0.195000172,0.130000114,0.180000067,0.309999943,0.325000048,39301399,0.058944136,0.062298622,0.038836404,0.047687081,0.027501845,0.043792996,0.05423036
77,6/3/2020,VRA,bmo,189.49,1591142400,0.340000153,0.03000021,0.46999979,-0.78000021,-0.509999752,0.460000038,0.369999886,0.775000095,0.269999981,1.049999714,1.014999866,0.789999962,0.639999866,0.399999619,7068169,0.065770216,0.049862135,0.053290039,0.07602082,0.052621266,0.025930761,0.027745941
78,6/3/2020,TLYS,amc,184.32,1591142400,0.050000191,0.320000172,0.519999981,-0.320000172,-0.299999714,0.289999962,0.06000042,0.519999981,0.809999943,0.640000343,0.429999828,0.340000153,0.529999733,0.170000076,9954311,0.092993177,0.045957877,0.034408409,0.034454419,0.021907292,0.036640808,0.017263475
79,6/3/2020,EXPR,bmo,127.14,1591142400,0,0.110000014,-0.049999952,-0.049999952,-0.130000114,0.079999924,-0.00999999,0.100000024,0.189999938,0.159999967,0.120000005,0.264999986,0.150000095,0.100000024,47814268,0.08604097,0.032483337,0.036346243,0.02677615,0.031023501,0.040758085,0.022260176
80,6/3/2020,AMPE,amc,63.67,1591142400,-0.012699991,-0.011799991,-0.003700018,-0.003500044,-0.00090003,-0.003800035,-0.026000023,0.023000002,0.033700019,0.030000031,0.019299984,0.026000023,0.019999981,0.055000007,37843722,0.026579547,0.027983241,0.029292573,0.019303281,0.018762372,0.032125857,0.059909646
81,6/3/2020,LUB,amc,43.76,1591142400,0.066000044,-0.021200001,0,0.011999965,-0.039999962,0.014999986,-0.014999986,0.07100004,0.029900014,0.039000034,0.029899955,0.039999962,0.035000026,0.014999986,4718910,0.194885895,0.010208713,0.012854452,0.009984297,0.016180008,0.026535153,0.016814264
82,6/3/2020,MOGO,amc,26.23,1591142400,-0.028900027,0.025000036,-0.014999986,-0.049899995,-0.0449,0.014999986,-0.021300018,0.095000029,0.17900002,0.025000036,0.07190001,0.057999969,0.049800038,0.129999995,7555547,0.046178126,0.130239809,0.013105868,0.00910801,0.012359661,0.020142685,0.04664692
83,6/3/2020,SMRT,amc,20.63,1591142400,0.02,0.03,-0.01,-0.07,0.09,0.06,0.01,0.03,0.07,0.07,0.12,0.14,0.1,0.02,77600300,0.013041187,0.040507575,0.04966089,0.055901846,0.165610184,0.124774002,0.011601759
84,6/3/2020,MSN,amc,12.83,1591142400,-0.002600014,0.004999995,-0.0097,0.003791034,-0.002800047,-0.002999961,-0.027499974,0.007869959,0.004999995,0.012299955,0.009000003,0.002800047,0.027899981,0.033899963,367170,0.006182422,0.006471117,0.027148187,0.005158374,0.036217556,0.092341422,0.062096577
85,6/3/2020,ATHE,amc,9.37,1591142400,-0.01,0.03,-0.01,0,-0.03,-0.03,-0.01,0.01,0.03,0.05,0.03,0.04,0.05,0.06,19671500,0.006384872,0.00767608,0.007238899,0.009206212,0.009541723,0.015753755,0.057423176
86,6/3/2020,ITMSF,amc,4.17,1591142400,0.004999995,0,0.006000005,0,0,0,-0.008000001,0.006999999,0,0.006000005,0,0,0,0.011999995,230700,0.022106632,0,0.1798873,0,0,0,0.013003901
87,6/3/2020,ACY,amc,3.4,1591142400,-0.059999943,0.029999971,-0.049999952,0.00999999,-0.150000095,-0.230000019,-0.349999905,0.069999933,0.190000057,0.189999819,0.170000076,0.180000067,0.370000124,0.559999943,4833332,0.009327934,0.007186967,0.012095176,0.004977519,0.008875037,0.017749039,0.020510488
88,6/2/2020,ZM,amc,4800,1591056000,-2.259994507,20.78999329,11.47999573,4.300003052,4.970001221,-5.300003052,-0.800003052,14.94000244,22.57000732,12.13000488,10.1000061,12.79000854,6.180007935,5.690002441,384492036,0.09584958,0.063445756,0.039822094,0.01662893,0.026207854,0.017398776,0.011189178
89,6/2/2020,CRWD,amc,4360,1591056000,-4.180000305,3.979995728,4.619995117,1.160003662,-0.810005188,-4.040000916,1.220001221,6.400001526,5.5,6.800003052,4.209999084,7.260002136,5.36000061,2.699996948,150301819,0.085716368,0.080031227,0.089737843,0.025394091,0.046714664,0.027427386,0.018782308
90,6/2/2020,DCI,bmo,3480,1591056000,-0.229999542,0.739997864,0.310001373,-1.409999847,0.119998932,0.61000061,-0.080001831,2.509998322,1.349998474,0.959999084,1.630001068,0.86000061,1.339996338,1.13999939,15348601,0.043095654,0.037474816,0.04564859,0.041914634,0.03465938,0.0453728,0.021069282
